#options: 640x360 fps=20/1 timebase=1/20 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:120 out:120 type:P dur:2 cpbdur:2 q:27.63 aq:23.64 tex:67637 mv:7509 misc:1022 imb:310 pmb:477 smb:133 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:27.63 aq:25.08 tex:2234 mv:282 misc:436 imb:3 pmb:66 smb:851 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:27.63 aq:24.06 tex:66937 mv:6729 misc:1014 imb:307 pmb:447 smb:166 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:27.63 aq:23.40 tex:62281 mv:6536 misc:999 imb:268 pmb:506 smb:146 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:27.63 aq:22.78 tex:2660 mv:527 misc:485 imb:21 pmb:71 smb:828 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:27.63 aq:24.06 tex:55682 mv:6184 misc:1014 imb:216 pmb:526 smb:178 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:27.63 aq:24.38 tex:63090 mv:6519 misc:991 imb:176 pmb:567 smb:177 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:27.63 aq:23.22 tex:9098 mv:701 misc:585 imb:28 pmb:97 smb:795 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:27.63 aq:26.04 tex:56831 mv:5068 misc:957 imb:146 pmb:474 smb:300 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:27.63 aq:24.79 tex:90435 mv:7150 misc:999 imb:365 pmb:502 smb:53 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:27.63 aq:24.03 tex:66453 mv:5386 misc:993 imb:288 pmb:510 smb:122 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:27.63 aq:24.86 tex:88822 mv:7422 misc:1004 imb:385 pmb:482 smb:53 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:27.63 aq:24.73 tex:80479 mv:7667 misc:1006 imb:386 pmb:503 smb:31 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:27.63 aq:24.02 tex:109723 mv:8138 misc:987 imb:534 pmb:378 smb:8 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:27.63 aq:23.34 tex:66233 mv:6806 misc:993 imb:390 pmb:508 smb:22 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:27.63 aq:23.45 tex:80087 mv:8184 misc:993 imb:582 pmb:310 smb:28 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:27.63 aq:21.97 tex:53263 mv:7751 misc:986 imb:708 pmb:145 smb:67 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:27.63 aq:19.04 tex:17513 mv:7241 misc:998 imb:764 pmb:103 smb:53 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:27.63 aq:11.17 tex:7588 mv:5664 misc:996 imb:855 pmb:58 smb:7 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:27.63 aq:20.61 tex:3032 mv:1038 misc:554 imb:128 pmb:34 smb:758 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:27.63 aq:19.12 tex:9002 mv:3420 misc:818 imb:354 pmb:98 smb:468 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:27.63 aq:20.75 tex:11549 mv:3409 misc:810 imb:252 pmb:193 smb:475 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:27.63 aq:16.98 tex:15625 mv:6735 misc:1016 imb:663 pmb:205 smb:52 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:27.63 aq:20.71 tex:26123 mv:5965 misc:928 imb:363 pmb:253 smb:304 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:27.63 aq:20.28 tex:21606 mv:6268 misc:966 imb:312 pmb:374 smb:234 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:27.63 aq:21.42 tex:19369 mv:4732 misc:947 imb:155 pmb:418 smb:347 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:27.63 aq:20.73 tex:25850 mv:6360 misc:982 imb:362 pmb:400 smb:158 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:27.63 aq:21.11 tex:19227 mv:5086 misc:1031 imb:251 pmb:412 smb:257 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:27.63 aq:21.31 tex:46570 mv:8196 misc:1018 imb:415 pmb:408 smb:97 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:27.63 aq:21.48 tex:22210 mv:5226 misc:1060 imb:198 pmb:500 smb:222 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:27.63 aq:21.70 tex:32653 mv:6648 misc:1035 imb:223 pmb:582 smb:115 d:- ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:27.63 aq:22.05 tex:23365 mv:4998 misc:1069 imb:127 pmb:542 smb:251 d:- ref:0 ;
